x,y
1497,745
1899,694
17,1544
684,133
151,1935
577,1226
1828,952
1176,642
1541,1320
684,1859
411,877
555,1376
1905,1657
1820,145
1316,1101
205,1344
1597,1790
1701,1510
679,161
481,1261
1776,1458
981,544
1880,912
504,1121
1568,51
301,1601
380,90
1617,763
421,1600
1953,457
1703,905
864,1713
352,806
536,1393
14,1828
409,1739
527,60
216,1518
1069,1298
1371,245
1529,1317
675,1286
45,253
88,1984
1970,97
1958,1814
1724,99
1272,676
1116,1557
868,1013
1815,124
556,1509
124,1289
1210,1171
717,1606
763,159
1828,1542
397,1263
1809,483
1033,1280
1207,1321
1195,196
1014,108
1579,1641
957,448
1711,1663
1218,1088
684,1788
1098,386
1733,1064
705,1272
577,1185
1987,1199
1620,15
308,739
652,699
339,1361
1689,352
1899,33
1570,37
825,1444
1172,1141
1990,1586
1305,788
1830,312
1565,795
1417,638
1544,1441
1149,179
1890,473
784,785
234,220
1844,116
452,1531
1858,752
1524,1798
180,1658
129,227
392,774
558,1144
847,1504
69,1307
963,1772
1141,757
1561,1953
1085,1290
1469,1999
1752,1122
1960,553
1818,1790
627,1691
1385,1019
1628,260
1789,458
599,1887
378,1880
546,529
863,283
6,615
1775,896
676,107
118,519
981,518
596,400
768,933
282,125
1185,892
701,1868
784,973
407,896
1714,1841
1259,789
1575,223
120,1756
804,1107
1294,782
1522,1326
267,137
173,483
307,1149
1992,722
334,1658
1232,672
1958,289
1107,1220
448,35
766,760
398,1796
1072,395
1875,751
1760,1648
1845,1131
1087,1314
350,1026
1309,1232
1351,1325
1671,695
249,29
1749,964
134,1077
645,1774
673,1466
109,958
415,732
590,444
1480,634
935,169
616,1360
1971,353
1211,1569
1901,207
1193,965
487,227
403,268
82,754
1,1532
1156,1546
266,1692
1092,88
1171,1133
937,1068
321,1907
553,1730
1425,867
168,267
647,1044
564,443
824,302
272,333
1680,1475
1100,880
349,1184
536,715
722,182
948,378
1321,656
135,1606
1764,52
464,28
670,1190
715,1729
1741,10
1459,68
640,1109
849,1058
1088,1677
1509,954
1568,190
963,151
1111,1265
1845,880
516,42
503,1175
1229,532
129,545
1357,424
813,1101
1995,1834
237,1783
920,1244
846,1059
76,1057
1947,176
1032,830
1553,479
986,512
1643,315
379,61
1607,1242
1783,1151
1211,1591
658,1251
322,572
772,1378
1322,1392
1496,282
1858,960
244,1563
147,658
337,567
1317,404
459,95
1354,392
1662,1694
1193,1534
1339,1304
1807,1900
1241,92
50,882
290,47
1376,1967
1603,799
143,1681
1463,882
1066,942
969,520
571,267
1640,221
1457,1250
1442,162
1027,410
1713,1596
1586,1981
1922,730
80,1413
822,1650
914,1061
1370,897
64,1565
926,337
1497,759
98,1912
748,1314
1180,288
516,984
1217,337
1033,905
174,1026
1304,851
1383,896
1942,338
653,1629
633,150
635,223
1978,1060
511,390
392,288
1914,883
1361,634
1336,324
1422,993
1278,1064
1585,1370
32,999
472,1085
1850,1365
1313,111
1756,698
573,1481
490,897
1410,229
1307,1445
1999,1913
1183,755
1489,301
857,257
283,1629
1612,789
155,1454
652,688
1341,1186
1750,1505
1366,1755
152,624
1094,1556
721,1902
1894,697
1031,1344
1488,990
559,21
366,32
1193,320
696,1372
1074,880
861,1965
366,929
1460,1433
287,1320
1875,558
1409,1201
376,1764
1991,2
876,1169
1825,1337
454,1720
557,866
1487,991
1411,1592
166,1885
790,1056
1673,1088
1904,1089
108,1265
663,684
1400,1040
993,1419
227,1793
1590,1772
622,498
735,603
1825,1329
1971,262
250,293
1581,938
333,186
1228,978
1230,190
1236,1490
1231,161
328,1455
1973,817
769,828
932,133
1450,1113
1250,340
1418,1223
412,194
182,600
1205,58
578,1319
962,1217
637,796
1545,80
1930,282
1980,771
1949,1546
1646,163
1137,780
1278,1843
1042,804
236,1174
1553,1037
408,1711
1774,295
817,1817
870,1255
845,1189
1074,951
1842,662
1959,552
618,1619
1808,1408
1867,1708
1826,1534
896,297
178,1470
1315,1816
1164,1089
1285,325
1361,184
1296,424
1276,1651
1871,1213
896,710
1649,94
526,1887
1766,221
1270,1961
1783,1232
773,1936
1630,1876
995,560
1716,1712
218,389
1662,1151
456,1226
851,1602
529,173
630,410
602,132
1650,701
1486,1406
1735,864
834,462
7,736
1968,1560
807,271
85,1780
819,743
715,488
1661,1017
438,1171
1724,1023
549,992
304,1523
319,698
1471,501
59,1698
1210,354
1496,1263
304,950
210,111
1288,677
1528,1749
1145,1513
209,159
531,1572
713,753
354,190
1303,73
929,1311
824,939
1428,1045
203,1191
536,1400
795,242
389,826
1395,1155
277,711
1690,17
523,806
939,1462
1606,1246
98,983
536,703
2,1690
854,1001
962,1635
1533,243
553,1577
1659,819
1444,1123
827,1900
1957,749
593,935
53,1200
1808,1026
1296,1412
217,76
1138,1718
187,1876
116,1299
812,595
990,1884
59,1368
270,398
1138,1628
941,766
1714,1530
939,1679
397,1841
150,704
1012,1007
1511,1069
94,325
806,826
23,831
488,90
1987,1982
1987,721
809,72
992,1666
1726,252
1610,643
466,1661
1708,67
691,1489
1126,787
1102,1232
1360,1269
944,1259
765,878
1587,407
1538,838
1604,906
1946,626
1327,194
1609,931
1921,1125
1968,1889
1684,1238
1238,827
200,738
40,891
948,798
880,1115
368,561
1000,39
745,1078
459,119
1306,1560
242,407
735,75
535,89
828,395
448,757
131,1807
434,918
126,316
686,125
32,1794
826,616
1062,683
1172,125
1580,484
193,1783
260,1596
1290,1037
1796,1248
705,1725
401,1191
1910,929
1109,494
363,760
408,1956
59,1192
1424,509
118,69
996,1579
806,244
322,862
288,672
451,1899
896,41
1187,1215
1050,1306
1184,302
1497,754
1891,1773
368,1243
505,1769
270,1500
655,1160
1301,1786
424,1313
1742,914
1741,1562
1191,212
1292,651
104,262
1945,1169
884,84
1785,1845
1799,1606
794,1114
299,295
731,1839
1650,1673
1167,1193
136,1427
68,788
326,752
136,198
18,572
384,585
1337,196
575,473
855,365
1450,1547
1231,1661
95,76
962,1916
241,1499
175,866
1162,120
210,488
692,86
588,725
1903,593
1491,529
1900,396
732,760
1290,1677
899,802
1603,33
1450,1117
262,1559
1164,1305
163,1423
1859,392
564,1862
1844,1922
1341,1744
1459,703
304,120
1818,739
1909,1340
1196,1454
481,78
1363,14
232,255
1889,441
1160,800
814,118
1149,1463
1532,969
1031,1454
1770,1003
1497,320
99,632
747,1890
1737,544
749,789
997,664
249,934
1902,187
1810,1028
1718,1219
1977,1584
1398,407
712,1929
1442,1009
1869,945
636,546
1518,52
1725,886
630,563
1652,566
110,563
930,1513
1840,767
538,1854
1999,61
1355,838
840,175
1723,862
1285,1768
1068,882
878,792
1229,963
1554,1740
885,266
632,1273
1445,1812
1523,883
490,1809
1760,1045
1526,1330
1379,1938
29,203
682,242
1863,1647
339,1526
325,868
1186,1040
810,1947
1307,1167
175,884
1598,1645
1303,1889
1083,1232
1299,91
1927,1643
512,593
704,927
959,1854
722,874
1878,391
1277,1129
315,1632
914,1479
1289,1507
1568,640
1329,483
649,1154
867,1404
1865,1381
494,1690
167,162
1988,902
1343,1492
510,369
1895,354
242,1412
197,1445
1346,1110
1941,1471
1739,1416
1113,1936
413,179
1492,343
1457,554
1036,623
175,950
1756,1128
1276,1011
1447,960
1164,1054
1103,227
1498,1882
284,1241
647,598
162,1277
298,1816
708,1465
710,622
1964,1961
307,153
